label,xchannel,ychannel,zchannel,wsurf
%f,%f,%f,%f,%f
1476,1002.941,933.693,98.639,100
1477,1003.075,933.317,98.408,100
1478,1002.871,933.068,98.498,100
1479,1002.704,933.511,98.59,100
1480,1002.376,934.032,98.431,100
1481,1002.012,933.868,98.523,100
1482,1002.278,933.288,98.645,100
1483,1002.473,933.018,98.669,100
1484,1002.169,932.809,98.766,100
1485,1001.973,933.312,98.686,100
1486,1001.617,933.754,98.582,100
1487,1001.31,933.46,98.695,100
1488,1001.471,933.093,98.758,100
1489,1001.755,932.583,98.795,100
1490,1001.391,932.422,98.778,100
1491,1001.237,932.775,98.764,100
1492,1001.037,933.296,98.746,100
1493,1000.671,933.168,98.779,100
1494,1000.939,932.679,98.719,100
1495,1001.124,932.335,98.778,100
1496,1000.654,932.262,98.764,100
1497,1000.539,932.547,98.842,100
1498,1000.293,933.027,98.721,100
1499,1000.341,933.444,98.758,100
1500,1000.144,933.818,98.634,100
1501,999.896,934.135,98.536,100
1502,1000.19,934.37,98.68,100
1503,1000.48,933.787,98.531,100
1504,1000.622,933.549,98.709,100
1505,1000.604,933.579,98.87,100
1506,1000.744,933.62,98.821,100
1507,1000.666,933.883,98.466,100
1508,1000.561,934.219,98.359,100
1509,1000.722,934.306,98.4,100
1510,1000.957,934.027,98.464,100
1511,1001.078,933.73,98.587,100
1512,1001.341,933.895,98.632,100
1513,1001.229,934.114,98.435,100
1514,1000.933,934.373,98.415,100
1515,1000.828,934.545,98.232,100
1516,1001.361,934.699,98.15,100
1517,1001.536,934.368,98.453,100
1518,1001.794,934.004,98.446,100
1519,1002.052,934.149,98.392,100
1520,1001.793,934.612,98.308,100
1521,1001.596,934.847,98.1,100
1522,1002.03,934.967,98.015,100
1523,1002.166,934.587,98.201,100
1524,1002.313,934.32,98.376,100
1525,1002.708,934.469,98.287,100
1526,1002.423,934.755,98.108,100
1527,1002.391,934.728,98.101,100
1528,1002.133,935,97.986,100
1529,1001.953,935.314,97.88,100
1530,1002.275,935.299,98.088,100
1531,1002.445,935.346,97.962,100
1532,1002.603,935.059,98.048,100
1533,1002.801,934.732,98.171,100
1534,1002.935,934.59,98.198,100
1535,1002.858,934.834,98.11,100
1536,1002.676,935.202,98.026,100
1537,1002.41,935.496,97.938,100
1538,1002.663,935.639,98.015,100
1539,1002.807,935.415,98.052,100
